job_id,status,company,title,url,detail,reason,attempts
cutshort-r6Jf0JTZ,applied,Techno Wise,Python Full Stack Developer,https://cutshort.io/job/Python-Full-Stack-Developer-Kolkata-Techno-Wise-r6Jf0JTZ,Application confirmed,,1
cutshort-JNkjU1hc,applied,Shuling technology,Senior Node.js Backend Engineer,https://cutshort.io/job/Senior-Node-js-Backend-Engineer-Shuling-technology-JNkjU1hc,Application confirmed,,1
cutshort-kXXlO0m3,applied,ChicMic Studios,React Js Developer,https://cutshort.io/job/React-Js-Developer-Mohali-ChicMic-Studios-kXXlO0m3,Application confirmed,,1
cutshort-KXTIhuMU,applied,BigThinkCode Technologies,Junior Node.js Developer,https://cutshort.io/job/Junior-Node-js-Developer-Chennai-BigThinkCode-Technologies-KXTIhuMU,Application confirmed,,1
cutshort-2oaWZQlq,applied,CLOUDSUFI,CloudSufi is Hiring! SSE-AI Full Stack – Internal AI Products,https://cutshort.io/job/CloudSufi-is-Hiring-SSE-AI-Full-Stack-Internal-AI-Products-CLOUDSUFI-2oaWZQlq,Application confirmed,,1
cutshort-B3ERbeSb,applied,IntelliSavvy,Fullstack Developer,https://cutshort.io/job/Fullstack-Developer-Hitech-city-Hyderabad-Hyderabad-IntelliSavvy-B3ERbeSb,Application confirmed,,1
cutshort-dTnQLI4Q,applied,Orenda,AI Software Engineer,https://cutshort.io/job/AI-Software-Engineer-Ahmedabad-Orenda-dTnQLI4Q,Application confirmed,,1
cutshort-yqOaMpGT,applied,Codewinglet Private Limited,QA (Automation + Manual) Engineer,https://cutshort.io/job/QA-Automation-Manual-Engineer-Surat-Codewinglet-Private-Limited-yqOaMpGT,Application confirmed,,1
cutshort-bu24rm8g,applied,Hans Infotech LLP,Mid - Python Developer,https://cutshort.io/job/Mid-Python-Developer-Bengaluru-Bangalore-Hans-Infotech-LLP-bu24rm8g,Application confirmed,,1
cutshort-3plZxW01,applied,Trendlyne Technologies,QA Engineer,https://cutshort.io/job/QA-Engineer-Bengaluru-Bangalore-Trendlyne-Technologies-3plZxW01,Application confirmed,,1
