job_id,reason,detail,company,title,url
reco-010926006889,filter_title,title lacks any required keyword,Tenacious Hr Solution,Full Stack Developer,https://www.naukri.com/job-listings-010926006889
reco-010926037195,filter_title,title lacks any required keyword,Damco Solutions,Mern Stack Developer,https://www.naukri.com/job-listings-010926037195
reco-010926010635,filter_title,title lacks any required keyword,Yash Technologies,Fullstack Engineer,https://www.naukri.com/job-listings-010926010635
reco-020926019243,filter_title,title lacks any required keyword,Ample Softech System,Java Full Stack Developer,https://www.naukri.com/job-listings-020926019243
reco-010926914885,filter_description,"job lacks any relevant skill or title keyword (python, fastapi, django, ai, artificial intelligence)",Capgemini,Full Stack Developer,https://www.naukri.com/job-listings-010926914885
reco-010926036989,filter_title,title lacks any required keyword,Geekay Infotech,Fullstack Developer,https://www.naukri.com/job-listings-010926036989
reco-310826024045,filter_title,title contains blocked term 'java developer',Infosys,Java Developer,https://www.naukri.com/job-listings-310826024045
reco-010926036569,filter_title,title lacks any required keyword,Yotta Infrastructure,Fullstack Engineer,https://www.naukri.com/job-listings-010926036569
reco-310826002991,filter_title,title contains blocked term 'java developer',Creative Hands HR,Software-Java Developer,https://www.naukri.com/job-listings-310826002991
reco-310826024273,filter_title,title lacks any required keyword,"Fast-Growing, Well-Funded US Tech Startup - Bengaluru",Back End Engineer,https://www.naukri.com/job-listings-310826024273
reco-010926012088,filter_title,title lacks any required keyword,Honeybee Tech Solutions,Fullstack Developer,https://www.naukri.com/job-listings-010926012088
reco-010926017906,filter_description,"job lacks any relevant skill or title keyword (python, fastapi, django, ai, artificial intelligence)",Mingledorffs Tech Private Ltd,Java Developer,https://www.naukri.com/job-listings-010926017906
reco-010926036981,filter_title,title contains blocked term 'java developer',Atyeti,Java Developer with Banking / Financial_ Immediate joiners,https://www.naukri.com/job-listings-010926036981
reco-010926024046,filter_title,title lacks any required keyword,Salesforce,Dev Support Engineer,https://www.naukri.com/job-listings-010926024046
reco-010926927635,filter_title,title lacks any required keyword,Taxmann Publications,MERN / MEAN Full Stack Developer,https://www.naukri.com/job-listings-010926927635
reco-010926031796,filter_title,title lacks any required keyword,Bespoke Technologies,Senior Front End Engineer,https://www.naukri.com/job-listings-010926031796
reco-020926018849,filter_title,title lacks any required keyword,HMG Technology,Senior Full Stack Developer,https://www.naukri.com/job-listings-020926018849
reco-020926927837,filter_title,title lacks any required keyword,NTT DATA BUSINESS SOLUTIONS,Java Full Stack Developer,https://www.naukri.com/job-listings-020926927837
reco-020926915918,filter_title,title lacks any required keyword,Ameya Innovex,Mern Stack Developer,https://www.naukri.com/job-listings-020926915918
reco-310826010071,filter_title,title lacks any required keyword,Deltek,SW Engineer - Prof Svcs,https://www.naukri.com/job-listings-310826010071
reco-010926009850,filter_title,title lacks any required keyword,Vivenns Global Private Limited,Fullstack - MERN Developer,https://www.naukri.com/job-listings-010926009850
reco-310826010298,filter_title,title contains blocked term 'java developer',Digital Harbor,Java Developer,https://www.naukri.com/job-listings-310826010298
reco-020926910490,filter_title,title lacks any required keyword,Infosys,React JS Node JS Professional,https://www.naukri.com/job-listings-020926910490
reco-020926009623,filter_title,title contains blocked term 'java developer',The Glove,Full Stack - Java Developer,https://www.naukri.com/job-listings-020926009623
reco-020926022224,filter_title,title contains blocked term 'java developer',Thinkapps Solutions,Java Developer,https://www.naukri.com/job-listings-020926022224
reco-020926035726,filter_title,title lacks any required keyword,Nxtwave Disruptive Technologies (Hiring for a client),Senior Front End Engineer,https://www.naukri.com/job-listings-020926035726
reco-020926031067,filter_title,title contains blocked term 'java developer',Capgemini,Cards Python + Java Developer,https://www.naukri.com/job-listings-020926031067
